t_months,nn_output_unit_interval,true_sin4,period_months,phi_rad,phi_over_pi
0.000000000000000000e+00,5.547672418085418389e-02,0.000000000000000000e+00,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.002502085070892293e-02,5.455375378521262059e-02,1.027340255718292097e-08,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.005004170141784586e-02,0.000000000000000000e+00,1.643411213419217017e-07,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.007506255212677226e-02,9.165124314616995838e-02,8.316958612797681370e-07,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.201000834028356917e-01,1.625753427698972131e-01,2.627326461239908936e-06,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.501251042535446112e-01,4.500354250163040443e-02,6.410470878133723100e-06,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.801501251042535445e-01,5.152635704134621297e-02,1.328287333835850582e-05,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.101751459549624501e-01,2.922543482436160134e-02,2.458654862443577238e-05,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.402001668056713835e-01,0.000000000000000000e+00,4.190105730429531921e-05,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.702251876563803168e-01,1.565043475055171718e-01,6.704029654400976137e-05,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.002502085070892224e-01,8.122515276422929975e-03,1.020488119705228102e-04,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.302752293577981280e-01,2.435369117224829225e-02,1.491976368676817212e-04,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.603002502085070891e-01,8.519596379611416026e-02,2.109796657953403557e-04,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.903252710592159946e-01,1.575476656110079698e-01,2.901045705161196570e-04,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.203502919099249002e-01,6.001490172744580742e-02,3.894932668962929685e-04,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.503753127606338613e-01,9.020308815655986301e-02,5.122719422149169975e-04,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.804003336113427669e-01,2.767621790804949966e-02,6.617656530675039691e-04,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.104253544620517280e-01,0.000000000000000000e+00,8.414915047859748308e-04,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.404503753127606336e-01,0.000000000000000000e+00,1.055151424014156300e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.704753961634695392e-01,2.427850782947878205e-02,1.306624536776493850e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.005004170141784448e-01,1.729615230828124295e-01,1.599959165055817078e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.305254378648873503e-01,2.712521729187949981e-01,1.939364455552752050e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.605504587155962559e-01,2.094945115897229593e-01,2.329201654933740848e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.905754795663052725e-01,1.577931085703806191e-01,2.773975046485425023e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.206005004170141781e-01,1.446229269480161228e-01,3.278322563679510800e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.506255212677230837e-01,1.916201772416922522e-01,3.847006096713083759e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.806505421184319893e-01,2.709833932601990458e-01,4.484901508623798799e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.106755629691408949e-01,2.897805440665880417e-01,5.196988378086598095e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.407005838198498004e-01,2.703225901329352476e-01,5.988339486477655543e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.707256046705588171e-01,1.350712291750676697e-01,6.864110067241482004e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.007506255212677226e-01,2.634377869991362253e-01,7.829526836017603950e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.307756463719766282e-01,1.547174564421008869e-01,8.889876820373430327e-03,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.608006672226855338e-01,8.193236470847120589e-02,1.005049600834920231e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.908256880733944394e-01,1.493993168487755541e-01,1.131675783534835146e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.020850708924103456e+00,1.799027471818140100e-01,1.269406152920241060e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.050875729774812362e+00,1.932575445124137536e-01,1.418782033350195031e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.080900750625521267e+00,3.135464379750244057e-01,1.580344962951547860e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.110925771476230173e+00,2.611252042948697394e-01,1.754635497721399387e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.140950792326939078e+00,3.959057110139550528e-01,1.942192009608176284e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.170975813177647984e+00,3.755552071481540466e-01,2.143549480652235523e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.201000834028356890e+00,1.911214916560841359e-01,2.359238295276318981e-02,1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00
