T_months,ratio_phi_0.000000pi,ratio_phi_0.304870pi,ratio_phi_0.351318pi,ratio_phi_0.355558pi,ratio_phi_0.417292pi,ratio_phi_0.481698pi,ratio_phi_0.500000pi,ratio_phi_0.537190pi,ratio_phi_0.553012pi,ratio_phi_0.602292pi,ratio_phi_0.621582pi,ratio_phi_0.653404pi,ratio_phi_0.770314pi,ratio_phi_0.799848pi,ratio_phi_0.808087pi,ratio_phi_0.837633pi,ratio_phi_0.838962pi,ratio_phi_0.903676pi,ratio_phi_0.926923pi,ratio_phi_0.961434pi,ratio_phi_avg,time_independent
1.000000000000000056e-01,8.571320718867105892e-01,8.254585520112094343e-01,8.360238639047926634e-01,9.063524776368643288e-01,8.413882498693826539e-01,9.299629451297963811e-01,8.783652351656083823e-01,8.717783524714012300e-01,8.675212895454029738e-01,8.389462709711188459e-01,9.194705884556119146e-01,8.661500194338169756e-01,8.599779611886900765e-01,8.474599584149776765e-01,8.644631357646199721e-01,8.789006185778506230e-01,8.398359816678628853e-01,8.270833659780791880e-01,8.484613160840868140e-01,8.845479110942705558e-01,8.644640082626077193e-01,1.000000000000000000e+00
1.123324032978027381e-01,9.643746317002852564e-01,8.320249524586246226e-01,8.824553728170002609e-01,8.772957098531878328e-01,8.792763158626307751e-01,8.606007780441640165e-01,9.646355686802677853e-01,8.980520932411786283e-01,8.840517376467883492e-01,8.877664312342584685e-01,8.742937796122296490e-01,9.083341249789935734e-01,8.385528704950201417e-01,8.703654340780053733e-01,8.813311833874776235e-01,8.659225656105061786e-01,8.687370258985972482e-01,8.568085331453543230e-01,8.707494587553552545e-01,9.259508310938012743e-01,8.845789699296862096e-01,1.000000000000000000e+00
1.261856883066020396e-01,8.397905617812938539e-01,8.810047007259196317e-01,8.540317899353753184e-01,8.893870724444012943e-01,8.965074636533423291e-01,8.990862324389902183e-01,8.863050582509554021e-01,8.592410721931287299e-01,8.547259839828635908e-01,8.778665177416369314e-01,8.588259955828178027e-01,8.403918096084584954e-01,8.887176298249723772e-01,8.427412680593560079e-01,9.207697917407873245e-01,8.678132030666154684e-01,8.916895273125493571e-01,8.584131713526350627e-01,8.631528134820252163e-01,9.065397905132609457e-01,8.738500726845692679e-01,1.000000000000000000e+00
1.417474162926805059e-01,8.791563019038405313e-01,8.537631007901944624e-01,8.292411509333150743e-01,9.078729870301875948e-01,8.968048247842242970e-01,8.733037911683605437e-01,9.203440179478696859e-01,8.452629657531215424e-01,8.341641620056113871e-01,8.398079469895030069e-01,8.444015554523013334e-01,8.323004089370740211e-01,8.395678620041323592e-01,8.798407449471142838e-01,8.560394228481437162e-01,8.158776391256141736e-01,9.111927691488557191e-01,8.643516007531384382e-01,9.654686616626743101e-01,8.691145453162847367e-01,8.678938229750781108e-01,1.000000000000000000e+00
1.592282793341092129e-01,8.640430763664016522e-01,8.536611325116367777e-01,9.584532807866931181e-01,9.547076414833259861e-01,9.176586241955870804e-01,8.353292620464459750e-01,9.313270207205818219e-01,8.492091368065082246e-01,9.300717745422647509e-01,8.752426009083956737e-01,8.608205248390333741e-01,8.492284224006920734e-01,9.059964847292500956e-01,8.848054342843642006e-01,8.629806477141236387e-01,8.572404258229523455e-01,9.154478383405918462e-01,9.164193050793772999e-01,8.845777105502552473e-01,8.529830185846162260e-01,8.880101681356549204e-01,1.000000000000000000e+00
1.788649529057435017e-01,8.408789225724191407e-01,8.399790815556524848e-01,9.155960273672388849e-01,8.383686651974224802e-01,8.679530643875134066e-01,8.487345239465464708e-01,9.172923255756705307e-01,8.954501455192477311e-01,8.995269117672596293e-01,8.657169052668705067e-01,8.349490452773027371e-01,8.642110183052718053e-01,8.600014171963680232e-01,8.711857899700345964e-01,8.571654195443266788e-01,8.485274829026778765e-01,8.601714203627673916e-01,8.468984939946796464e-01,8.902678880042061982e-01,8.310276593145109469e-01,8.646951104013993472e-01,1.000000000000000000e+00
2.009233002565046777e-01,8.676644995370914604e-01,8.794893153725243939e-01,8.549219629788045172e-01,8.370537435966917128e-01,8.269786690403253537e-01,8.662557148488139180e-01,8.448458065396103889e-01,8.684269089921651252e-01,8.672098384067579158e-01,8.438706992727621481e-01,8.679862500340025377e-01,8.306928075662850519e-01,8.387078311376924278e-01,9.173194156416127898e-01,8.898311186874539036e-01,8.424637710108808797e-01,8.850034834959230601e-01,8.699377515324084875e-01,8.597536585670364495e-01,8.703024242260427590e-01,8.614357835242442141e-01,1.000000000000000000e+00
2.257019719633920340e-01,8.607177138829927854e-01,8.402435544024164926e-01,8.704014366045466078e-01,8.160089729427741911e-01,9.481432830513737420e-01,8.362118562569407221e-01,9.094396041476588977e-01,8.461287557956383987e-01,8.785398584433493641e-01,9.006731230727132997e-01,9.398606061564441783e-01,8.758629840148782764e-01,9.063852931677018887e-01,8.781616929008235761e-01,8.425104194162464921e-01,9.081713480350935841e-01,8.484991798287769837e-01,8.920289882129353032e-01,8.713879308912327870e-01,8.698230627830825235e-01,8.769599832003809325e-01,1.000000000000000000e+00
2.535364493970111432e-01,9.431963536201964926e-01,8.677182334114473816e-01,9.384888042561961852e-01,8.870827880569503998e-01,8.611448088572070114e-01,8.921911413181601302e-01,9.459971375346122313e-01,8.581500339456545889e-01,8.630631708968755644e-01,8.346301275816682130e-01,8.753231007889866744e-01,8.468477461036786336e-01,8.734570243467981721e-01,8.472909527478662550e-01,8.936088324758458823e-01,8.381804037635044446e-01,9.061513895158607168e-01,8.462821653282219803e-01,8.659630703166467658e-01,8.984219284680720063e-01,8.791594606667223477e-01,1.000000000000000000e+00
2.848035868435802032e-01,9.041718849741053887e-01,8.608076332507108575e-01,8.500071555662399581e-01,8.565706244380763001e-01,8.735744257794965106e-01,8.605072910749902437e-01,8.658181465437919666e-01,8.459327142856384318e-01,8.767926892838450170e-01,8.670293650965614773e-01,8.520369589860863346e-01,8.596539171663513113e-01,8.486338661830252761e-01,8.711764500508193398e-01,8.515028148690638732e-01,8.428508630390605383e-01,9.373184132125658152e-01,8.595360528225968189e-01,9.321606151843155885e-01,8.607228845673495776e-01,8.688402383187346922e-01,1.000000000000000000e+00
