T_months,phi_rad,phi_over_pi,mu95_learned,mu95_ti,mu95_ratio
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.097132294589980739e-02,4.780047823401840229e-02,8.571320718867105892e-01
1.123324032978027381e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.609756859202900070e-02,4.780047823401840229e-02,9.643746317002852564e-01
1.261856883066020396e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.014239046956082080e-02,4.780047823401840229e-02,8.397905617812938539e-01
1.417474162926805059e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.202409167345463881e-02,4.780047823401840229e-02,8.791563019038405313e-01
1.592282793341092129e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.130167226510648298e-02,4.780047823401840229e-02,8.640430763664016522e-01
1.788649529057435017e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.019441463586776592e-02,4.780047823401840229e-02,8.408789225724191407e-01
2.009233002565046777e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.147477802455321050e-02,4.780047823401840229e-02,8.676644995370914604e-01
2.257019719633920340e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.114271834809807293e-02,4.780047823401840229e-02,8.607177138829927854e-01
2.535364493970111432e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.508523677162772775e-02,4.780047823401840229e-02,9.431963536201964926e-01
2.848035868435802032e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.321984850751611762e-02,4.780047823401840229e-02,9.041718849741053887e-01
3.199267137797383587e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.193749019775941389e-02,4.780047823401840229e-02,8.773445736765359548e-01
3.593813663804627523e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.454383181356894039e-02,4.780047823401840229e-02,9.318700033814349970e-01
4.037017258596554692e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.392003003107329551e-02,4.780047823401840229e-02,9.188198874507600422e-01
4.534878508128581953e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.074221508952287352e-02,4.780047823401840229e-02,8.523390684515717020e-01
5.094138014816379512e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.061707112913991169e-02,4.780047823401840229e-02,8.497210201598728307e-01
5.722367659350217073e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.023560058349835017e-02,4.780047823401840229e-02,8.417405446555487059e-01
6.428073117284320848e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.016050539722228196e-02,4.780047823401840229e-02,8.401695313717815194e-01
7.220809018385463407e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.979337800766423461e-02,4.780047823401840229e-02,8.324891188922098895e-01
8.111308307896870629e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.982341946569713242e-02,4.780047823401840229e-02,8.331175949899974897e-01
9.111627561154891364e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.298901465333258842e-02,4.780047823401840229e-02,8.993427731595032837e-01
1.023531021899026339e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.108122630535994413e-02,4.780047823401840229e-02,8.594312823448587713e-01
1.149756995397735571e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.029710967312088304e-02,4.780047823401840229e-02,8.430273328194954896e-01
1.291549665014884107e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.998963337537386753e-02,4.780047823401840229e-02,8.365948386456570907e-01
1.450828778495939497e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.005528784052290320e-02,4.780047823401840229e-02,8.379683492793291721e-01
1.629750834620644406e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.112726296285464794e-02,4.780047823401840229e-02,8.603943826985690491e-01
1.830738280295367781e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.267967503657865702e-02,4.780047823401840229e-02,8.928712978064852201e-01
2.056512308348651619e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.177911741186036282e-02,4.780047823401840229e-02,8.740313686260823278e-01
2.310129700083159321e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.057857681410031309e-02,4.780047823401840229e-02,8.489157078186209127e-01
2.595024211399735936e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.041106398249515869e-02,4.780047823401840229e-02,8.454112903359116693e-01
2.915053062825175623e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.034345602195790054e-02,4.780047823401840229e-02,8.439969120067605246e-01
3.274549162877728570e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.961309537067771169e-02,4.780047823401840229e-02,8.287175533420931828e-01
3.678379771828632183e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.963376518288516670e-02,4.780047823401840229e-02,8.291499718653193574e-01
4.132012400115336881e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.990338815870272948e-02,4.780047823401840229e-02,8.347905634614444237e-01
4.641588833612779297e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.997527189096387185e-02,4.780047823401840229e-02,8.362943921869483432e-01
5.214008287999684299e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.068961297740395638e-02,4.780047823401840229e-02,8.512386168648450324e-01
5.857020818056667189e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.110273846394472269e-02,4.780047823401840229e-02,8.598813230009262343e-01
6.579332246575678944e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.851754999354087966e-02,4.780047823401840229e-02,8.057984232912738243e-01
7.390722033525778834e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.106727855031962193e-02,4.780047823401840229e-02,8.591394912256979932e-01
8.302175681319743816e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.111027943249308952e-02,4.780047823401840229e-02,8.600390822708533500e-01
9.326033468832198636e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.039686475297235568e-02,4.780047823401840229e-02,8.451142382969490940e-01
1.047615752789665144e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.021990869731389279e-02,4.780047823401840229e-02,8.414122658021943035e-01
1.176811952434997899e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.918642392639556937e-02,4.780047823401840229e-02,8.197914618039862100e-01
1.321941148466028793e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.946831522954678123e-02,4.780047823401840229e-02,8.256887103999343003e-01
1.484968262254465010e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.028920391042285776e-02,4.780047823401840229e-02,8.428619419491506504e-01
1.668100537200059108e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.959077351700873715e-02,4.780047823401840229e-02,8.282505736277964159e-01
1.873817422860383175e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.889331094600335936e-02,4.780047823401840229e-02,8.136594524345985846e-01
2.104904144512019570e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.900019370438293637e-02,4.780047823401840229e-02,8.158954710337494864e-01
2.364489412645407285e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.938113999793513981e-02,4.780047823401840229e-02,8.238649790308701926e-01
2.656087782946686815e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.900460069552399295e-02,4.780047823401840229e-02,8.159876665787287875e-01
2.983647240283340452e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.875455721992263070e-02,4.780047823401840229e-02,8.107566838597439762e-01
3.351602650938841066e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.869617586622221828e-02,4.780047823401840229e-02,8.095353288470473752e-01
3.764935806792467332e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.914344660633948397e-02,4.780047823401840229e-02,8.188923636852251109e-01
4.229242874389498752e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.025613522839727176e-02,4.780047823401840229e-02,8.421701354391050165e-01
4.750810162102798273e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.972671928028727317e-02,4.780047823401840229e-02,8.310945987986949612e-01
5.336699231206306848e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.801041410158084721e-02,4.780047823401840229e-02,7.951889919488250857e-01
5.994842503189408944e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.701922865306874616e-02,4.780047823401840229e-02,7.744531021600342680e-01
6.734150657750821267e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.716657761315328434e-02,4.780047823401840229e-02,7.775356855468187334e-01
7.564633275546290747e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.870662438478955636e-02,4.780047823401840229e-02,8.097539149146634196e-01
8.497534359086438371e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.198726216463660038e-02,4.780047823401840229e-02,8.783858177961767488e-01
9.545484566618337396e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.226584874282164617e-02,4.780047823401840229e-02,8.842139305782531489e-01
1.072267222010323167e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.104407239355505055e-02,4.780047823401840229e-02,8.586540116317290527e-01
1.204503540258782408e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.109552118504319895e-02,4.780047823401840229e-02,8.597303354131831110e-01
1.353047774579806060e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.088695810776575568e-02,4.780047823401840229e-02,8.553671347720436247e-01
1.519911082952933157e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.958130484063246413e-02,4.780047823401840229e-02,8.280524861457022601e-01
1.707352647470690385e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.936023496130479360e-02,4.780047823401840229e-02,8.234276395438466789e-01
1.917910261672488730e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.833945727039068940e-02,4.780047823401840229e-02,8.020726713797908802e-01
2.154434690031884543e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.949485804312510839e-02,4.780047823401840229e-02,8.262439938313757004e-01
2.420128264794381039e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.777065004389014435e-02,4.780047823401840229e-02,7.901730576622080227e-01
2.718588242732940330e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.355820597906886138e-02,4.780047823401840229e-02,7.020474944785453086e-01
3.053855508833415797e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.584016063806171049e-02,4.780047823401840229e-02,7.497866540706524807e-01
3.430469286314919373e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.643761131603580339e-02,4.780047823401840229e-02,7.622854971794836842e-01
3.853528593710527161e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.588648124198418748e-02,4.780047823401840229e-02,7.507556946667675035e-01
4.328761281083056929e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.720880199693471502e-02,4.780047823401840229e-02,7.784190320182642342e-01
4.862601580065353346e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.173472249957420138e-02,4.780047823401840229e-02,6.638996861958045281e-01
