T_months,auc_true_avg,auc_nn_avg
1.000000000000000056e-01,7.702151170909992128e-01,6.765672211854130147e-01
1.123324032978027381e-01,7.706364578012372402e-01,6.678398567373439176e-01
1.261856883066020396e-01,7.696126816967928663e-01,6.737212915520327527e-01
1.417474162926805059e-01,7.679228287121259156e-01,6.758420629755257369e-01
1.592282793341092129e-01,7.708307848733872980e-01,6.623796389439033927e-01
1.788649529057435017e-01,7.701686893783924459e-01,6.822877996354115293e-01
2.009233002565046777e-01,7.692734051308247611e-01,6.860067424968858685e-01
2.257019719633920340e-01,7.696561175360929763e-01,6.775236217965953101e-01
2.535364493970111432e-01,7.695435745576694186e-01,6.696411511682962558e-01
2.848035868435802032e-01,7.699556829349893938e-01,6.811863071713849527e-01
3.199267137797383587e-01,7.695241203799128016e-01,6.820902799870653954e-01
3.593813663804627523e-01,7.718494127153403550e-01,6.849479974145732397e-01
4.037017258596554692e-01,7.686929630393024571e-01,6.906186125138533694e-01
4.534878508128581953e-01,7.685427906028479139e-01,6.966891071167189420e-01
5.094138014816379512e-01,7.706887899128033181e-01,7.003667915318690929e-01
5.722367659350217073e-01,7.719635706518979124e-01,7.029113004315019619e-01
6.428073117284320848e-01,7.709753843040257903e-01,7.012448643397826142e-01
7.220809018385463407e-01,7.693773785626163431e-01,7.053099380042777700e-01
8.111308307896870629e-01,7.718128801219377166e-01,7.090033262536555858e-01
9.111627561154891364e-01,7.694497856306439232e-01,7.042679469457312491e-01
1.023531021899026339e+00,7.725710702934331930e-01,7.047499489374509096e-01
1.149756995397735571e+00,7.715338424278812557e-01,7.121059315451920835e-01
1.291549665014884107e+00,7.708681249458571028e-01,7.081843721154792437e-01
1.450828778495939497e+00,7.718807457036511721e-01,7.154712709216426436e-01
1.629750834620644406e+00,7.693107031957129305e-01,7.097667603715784868e-01
1.830738280295367781e+00,7.705509350327548468e-01,7.084580515091364328e-01
2.056512308348651619e+00,7.699057872631519528e-01,7.134242298049953135e-01
2.310129700083159321e+00,7.675174508828686015e-01,7.096783460812340349e-01
2.595024211399735936e+00,7.717932905864184345e-01,7.228627779408293152e-01
2.915053062825175623e+00,7.690116092152310401e-01,7.166439662363597307e-01
3.274549162877728570e+00,7.698913599926514584e-01,7.210554157481008364e-01
3.678379771828632183e+00,7.720298259429863030e-01,7.165449006903432672e-01
4.132012400115336881e+00,7.678503376289353977e-01,7.205008736643455647e-01
4.641588833612779297e+00,7.728797420025033116e-01,7.230554877210905174e-01
5.214008287999684299e+00,7.714308165004287732e-01,7.244454299111905415e-01
5.857020818056667189e+00,7.695575210747367390e-01,7.246554398137774466e-01
6.579332246575678944e+00,7.695389117161197667e-01,7.268780026085773782e-01
7.390722033525778834e+00,7.737843659356973269e-01,7.357921234291031620e-01
8.302175681319743816e+00,7.741507187217149255e-01,7.397235243016658801e-01
9.326033468832198636e+00,7.736755289594663410e-01,7.347241296775907093e-01
1.047615752789665144e+01,7.699419837959021740e-01,7.346069378601448596e-01
1.176811952434997899e+01,7.699148282281986777e-01,7.336624347295533921e-01
1.321941148466028793e+01,7.728599050890039290e-01,7.344297148749405757e-01
1.484968262254465010e+01,7.691171555975756524e-01,7.351555172010778572e-01
1.668100537200059108e+01,7.715762280776433668e-01,7.361267254847490005e-01
1.873817422860383175e+01,7.740767480381525179e-01,7.410450011351381594e-01
2.104904144512019570e+01,7.764061664515878869e-01,7.421998922365509177e-01
2.364489412645407285e+01,7.717854258336543927e-01,7.388246367371050782e-01
2.656087782946686815e+01,7.761448839619908835e-01,7.366142561409482203e-01
2.983647240283340452e+01,7.762594246342914284e-01,7.445586786169833271e-01
3.351602650938841066e+01,7.688816050854190287e-01,7.383489638876689076e-01
3.764935806792467332e+01,7.732993510668805248e-01,7.362745898379738918e-01
