T_months,phi_rad,phi_over_pi,auc_true,auc_nn
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.649862513853166179e-01,6.809326280540446419e-01
1.123324032978027381e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.682366113436153165e-01,5.883535660516010513e-01
1.261856883066020396e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.708815020268190432e-01,6.895428286897218317e-01
1.417474162926805059e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.617847135717721319e-01,6.750864796078395180e-01
1.592282793341092129e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.664603440962358682e-01,6.611856107790334836e-01
1.788649529057435017e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.701505701082265176e-01,6.854227250934248339e-01
2.009233002565046777e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.571762951777537554e-01,6.721623318576537276e-01
2.257019719633920340e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.619813090533245070e-01,6.932868710811593838e-01
2.535364493970111432e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.633745605073471996e-01,6.010286069763204342e-01
2.848035868435802032e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.703392308243791620e-01,6.509538708212725400e-01
3.199267137797383587e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.782491650759796320e-01,6.822615145581474305e-01
3.593813663804627523e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.682648964485110366e-01,6.094207882638658091e-01
4.037017258596554692e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.713040049468128379e-01,6.480483464322307485e-01
4.534878508128581953e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.637490814342171586e-01,7.146483797395755122e-01
5.094138014816379512e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.790762476811814441e-01,7.257818357723869740e-01
5.722367659350217073e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.705061409483183743e-01,7.086121236494096198e-01
6.428073117284320848e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.774334711928808650e-01,7.208498189753286267e-01
