injected_period_months,phi_rad,bestfit_period_months,max_ls_power,global_pvalue_conditional,n_null_toys
1.000000000000000056e-01,0.000000000000000000e+00,4.229242874389498752e+01,1.021291935872362944e-01,5.323383084577114621e-01,2.000000000000000000e+02
1.000000000000000056e-01,9.577788161520000010e-01,3.764935806792467332e+01,7.406172112668732432e-02,8.407960199004974600e-01,2.000000000000000000e+02
1.000000000000000056e-01,1.103696963161999944e+00,4.750810162102798273e+01,4.608795987823954138e-02,2.487562189054726494e-02,2.000000000000000000e+02
1.000000000000000056e-01,1.117018429158999959e+00,1.668100537200059108e+01,1.284901972062326425e-01,9.950248756218905977e-02,2.000000000000000000e+02
1.000000000000000056e-01,1.310960399647999930e+00,8.302175681319743816e+00,1.442721358381261580e-02,4.626865671641791078e-01,2.000000000000000000e+02
1.000000000000000056e-01,1.513298605096000005e+00,5.336699231206306848e+01,1.166790342941615433e-01,9.900497512437811398e-01,2.000000000000000000e+02
1.000000000000000056e-01,1.570796326795000031e+00,4.750810162102798273e+01,1.052898481840187500e-01,2.786069651741293618e-01,2.000000000000000000e+02
1.000000000000000056e-01,1.687631551731000101e+00,4.750810162102798273e+01,1.302124692257026484e-01,8.407960199004974600e-01,2.000000000000000000e+02
1.000000000000000056e-01,1.737337002562999944e+00,1.047615752789665144e+01,5.910608633556717340e-02,8.507462686567164312e-01,2.000000000000000000e+02
1.000000000000000056e-01,1.892154948508000034e+00,1.000000000000000000e+04,5.543954933931605211e-02,1.990049751243781195e-01,2.000000000000000000e+02
1.000000000000000056e-01,1.952756727841000073e+00,1.000000000000000000e+04,1.767364206044950981e-01,3.880597014925373234e-01,2.000000000000000000e+02
1.000000000000000056e-01,2.052728374217000162e+00,2.983647240283340452e+01,6.717248621976981693e-02,8.855721393034825528e-01,2.000000000000000000e+02
1.000000000000000056e-01,2.420014265287000033e+00,3.764935806792467332e+01,5.596943060051652596e-02,7.164179104477611526e-01,2.000000000000000000e+02
1.000000000000000056e-01,2.512798025970000015e+00,4.229242874389498752e+01,2.963857712472802580e-02,9.950248756218905283e-03,2.000000000000000000e+02
1.000000000000000056e-01,2.538681563927999818e+00,1.873817422860383175e+01,5.926234260050802088e-02,8.955223880597014408e-02,2.000000000000000000e+02
1.000000000000000056e-01,2.631502027943000144e+00,3.764935806792467332e+01,1.039421139277792588e-01,3.134328358208955390e-01,2.000000000000000000e+02
1.000000000000000056e-01,2.635677408799999899e+00,2.364489412645407285e+01,3.694380765380723269e-02,9.004975124378109541e-01,2.000000000000000000e+02
1.000000000000000056e-01,2.838983169807999918e+00,9.326033468832198636e+00,5.611675672316563529e-02,4.726368159203980235e-01,2.000000000000000000e+02
1.000000000000000056e-01,2.912014714116000214e+00,3.764935806792467332e+01,3.296399801042780575e-02,5.970149253731343170e-02,2.000000000000000000e+02
1.000000000000000056e-01,3.020432623406000161e+00,2.104904144512019570e+01,1.226176150590880254e-01,8.059701492537313383e-01,2.000000000000000000e+02
1.123324032978027381e-01,0.000000000000000000e+00,3.764935806792467332e+01,2.300203453445703872e-01,9.502487562189054771e-01,2.000000000000000000e+02
1.123324032978027381e-01,9.577788161520000010e-01,1.047615752789665144e+01,3.495144480534179837e-02,9.950248756218905699e-01,2.000000000000000000e+02
1.123324032978027381e-01,1.103696963161999944e+00,7.390722033525778834e+00,4.376437989460039285e-02,7.761194029850746468e-01,2.000000000000000000e+02
1.123324032978027381e-01,1.117018429158999959e+00,4.750810162102798273e+01,7.372271104073478687e-02,4.179104477611940149e-01,2.000000000000000000e+02
1.123324032978027381e-01,1.310960399647999930e+00,3.764935806792467332e+01,1.356241388513500512e-01,1.000000000000000000e+00,2.000000000000000000e+02
1.123324032978027381e-01,1.513298605096000005e+00,4.229242874389498752e+01,6.847221744147649614e-02,3.880597014925373234e-01,2.000000000000000000e+02
1.123324032978027381e-01,1.570796326795000031e+00,4.229242874389498752e+01,1.609143877542110468e-01,9.552238805970149071e-01,2.000000000000000000e+02
1.123324032978027381e-01,1.687631551731000101e+00,1.321941148466028793e+01,8.272075373763641826e-02,1.990049751243781195e-01,2.000000000000000000e+02
1.123324032978027381e-01,1.737337002562999944e+00,2.656087782946686815e+01,6.995093520477335680e-02,9.950248756218905283e-03,2.000000000000000000e+02
1.123324032978027381e-01,1.892154948508000034e+00,3.764935806792467332e+01,1.455888223849730878e-01,7.064676616915422924e-01,2.000000000000000000e+02
1.123324032978027381e-01,1.952756727841000073e+00,4.229242874389498752e+01,1.603748786026819861e-01,6.915422885572138911e-01,2.000000000000000000e+02
